anzsco_code,occupation,task_rank,task
4521,Fitness Instructors,2,"Designing individual fitness programs based on assessment of the client's age, level of fitness, goals and abilities"
4521,Fitness Instructors,3,Delivering group exercise classes and personal tuition in a variety of fitness activities in a safe and creative manner
4521,Fitness Instructors,4,Demonstrating and teaching body movements and skills used in fitness routines
4521,Fitness Instructors,5,"Setting up and monitoring fitness equipment and ensuring that equipment is safe, clean and in working condition"
4521,Fitness Instructors,6,Teaching and advising on the use of fitness equipment
4521,Fitness Instructors,7,Ensuring clients are aware of and adhere to safety and injury prevention procedures
4521,Fitness Instructors,8,Reporting accidents and preparing accident reports
4521,Fitness Instructors,9,Maintaining a working knowledge of current health and safety standards and ensuring working practices and procedures conform to current legislation
4521,Fitness Instructors,10,Maintaining current first aid certificates
4522,Outdoor Adventure Guides,1,Meeting members of a tour on arrival and making introductions
4522,Outdoor Adventure Guides,2,"Organising and supervising groups involved in outdoor adventures such as bungy jumping, fishing and hunting, mountaineering, trekking and whitewater rafting"
4522,Outdoor Adventure Guides,3,"Setting up and maintaining equipment, and ensuring that equipment is safe and in working condition"
4522,Outdoor Adventure Guides,4,Demonstrating and providing instruction in the use of equipment and techniques required for participation
4522,Outdoor Adventure Guides,5,"Providing advice on safety measures, and ensuring that activities are conducted in a manner to minimise risk to participants"
4522,Outdoor Adventure Guides,6,Responding to emergencies by providing first aid assistance and taking appropriate further action if required
4522,Outdoor Adventure Guides,7,Answering questions and advising on local interest points within a specific region
4522,Outdoor Adventure Guides,8,May maintain written reports of daily activities and carry out other administrative work
4523,"Sports Coaches, Instructors and Officials",1,"Coaching, training and instructing sportspersons by analysing performances and developing abilities"
4523,"Sports Coaches, Instructors and Officials",2,"Planning and directing game strategies, developing play patterns and analysing game progress"
4523,"Sports Coaches, Instructors and Officials",3,Motivating sportspersons and supervising practice sessions
4523,"Sports Coaches, Instructors and Officials",4,Recruiting players and other coaching staff
4523,"Sports Coaches, Instructors and Officials",5,Arranging entries into sporting competitions
4523,"Sports Coaches, Instructors and Officials",6,"Promoting sports and skills development, and overseeing the participation of young people in sport"
4523,"Sports Coaches, Instructors and Officials",7,Officiating at sporting events to enforce rules
4523,"Sports Coaches, Instructors and Officials",8,"Coordinating and directing sporting activities, and liaising with other officials to interpret and enforce rules and regulations relating to sport"
4524,Sportspersons,1,Maintaining a high degree of expertise in a particular sport
4524,Sportspersons,2,Attending regular practice sessions and undertaking private training to maintain the required standard of fitness
4524,Sportspersons,3,Deciding on strategies in consultation with coaches
4524,Sportspersons,4,Assessing other competitors and conditions at venues
4524,Sportspersons,5,Competing in sporting events
4524,Sportspersons,6,Adhering to the rules and regulations associated with a specific sport
4524,Sportspersons,7,Promoting water safety awareness and undertaking rescue of persons in difficulty in the water
4524,Sportspersons,8,Undertaking sports promotional activities and television appearances
5111,"Contract, Program and Project Administrators",1,"Developing, reviewing and negotiating variations to contracts, programs, projects and services"
5111,"Contract, Program and Project Administrators",2,"Responding to inquiries and resolving problems concerning contracts, programs, projects, services provided, and persons affected"
5111,"Contract, Program and Project Administrators",3,"Managing paperwork associated with contracts, programs, projects and services provided"
5111,"Contract, Program and Project Administrators",4,"Working with project managers, architects, engineering professionals, owners and others to ensure that goals are met"
5111,"Contract, Program and Project Administrators",5,Advising senior management on matters requiring attention and implementing their decisions
5111,"Contract, Program and Project Administrators",6,Overseeing work by contractors and reporting on variations to work orders
5111,"Contract, Program and Project Administrators",7,Preparing and reviewing submissions and reports concerning the organisation's activities
5111,"Contract, Program and Project Administrators",8,"Collecting and analysing data associated with projects undertaken, and reporting on project outcomes"
5111,"Contract, Program and Project Administrators",9,Reviewing and arranging new office accommodation
5121,Office Managers,1,"Contributing to the planning and review of office services, and setting priorities and office service standards"
5121,Office Managers,2,"Allocating human resources, space and equipment"
5121,Office Managers,3,Assigning work to and monitoring work performance of staff
5121,Office Managers,4,Managing records and accounts of the office
5121,Office Managers,5,Liaising with professionals to coordinate office business and to facilitate resolution of problems
5121,Office Managers,6,Managing physical facilities and ensuring buildings and equipment are maintained
5121,Office Managers,7,Ensuring compliance with occupational health and safety regulations
5121,Office Managers,8,"Ensuring work complies with relevant government legislation, policies and procedures"
5121,Office Managers,9,"Coordinating personnel activities such as hiring, promotions, performance management, payroll, training and supervision"
5122,Practice Managers,1,"Contributing to the planning and review of office services, and setting priorities and office service standards"
5122,Practice Managers,2,"Allocating human resources, space and equipment"
